roll,pitch,yaw
0.359463,-0.665682,-1.9793
0.351363,-0.644089,-1.98439
0.367548,-0.629558,-2.00478
0.352715,-0.595927,-2.00446
0.352475,-0.580669,-1.99237
0.338617,-0.566203,-1.97298
0.343939,-0.551804,-1.97245
0.308256,-0.518673,-1.93331
0.211628,-0.370048,-1.82767
0.108806,-0.0876874,-1.6313
-0.0210126,0.19391,-1.41101
0.107649,0.342785,-1.4062
0.157857,0.51848,-1.22798
0.179523,0.511319,-1.21398
0.234381,0.524253,-1.2204
0.242553,0.522989,-1.21479
0.256211,0.515243,-1.2441
0.253056,0.519886,-1.25114
0.250504,0.518719,-1.25574
0.272698,0.469009,-1.31606
0.260996,0.413332,-1.36303
0.254532,0.328511,-1.40858
0.230627,0.202962,-1.48305
0.231158,0.0604422,-1.58544
0.286096,-0.124718,-1.72036
0.356601,-0.237383,-1.86162
0.462355,-0.357615,-2.02919
0.526556,-0.411538,-2.12565
0.547196,-0.458302,-2.1584
0.526138,-0.498403,-2.1439
0.522018,-0.520077,-2.15176
0.495928,-0.49271,-2.13819
0.460391,-0.471973,-2.08584
0.442885,-0.46966,-2.06303
0.462782,-0.483118,-2.09671
0.48099,-0.515651,-2.12809
0.503468,-0.58286,-2.166
0.529228,-0.687334,-2.21576
0.596824,-0.775162,-2.29089
0.628186,-0.83389,-2.338
0.726535,-0.86286,-2.43509
0.783848,-0.895384,-2.51178
0.838404,-0.907764,-2.57841
0.88821,-0.920894,-2.63938
0.909521,-0.958535,-2.6642
0.930652,-0.981061,-2.67798
0.964969,-0.994008,-2.72636
1.00945,-0.996275,-2.77735
1.0483,-0.998894,-2.82037
1.09146,-0.995508,-2.87314
1.1201,-0.993301,-2.91335
1.14741,-0.986185,-2.94752
1.15018,-0.977106,-2.94708
1.14129,-0.9711,-2.92841
1.09593,-0.953676,-2.87902
1.02686,-0.912779,-2.79049
0.888518,-0.867924,-2.61405
0.763397,-0.786172,-2.45761
0.685335,-0.751857,-2.38414
0.633259,-0.67108,-2.32092
0.583645,-0.638628,-2.25604
0.571772,-0.555201,-2.20644
0.533937,-0.506863,-2.12189
0.513236,-0.459652,-2.05827
0.534491,-0.405593,-2.04969
0.570677,-0.370679,-2.03498
0.647324,-0.336231,-2.04153
0.748476,-0.294917,-2.10968
0.790305,-0.273453,-2.13512
0.839697,-0.246336,-2.14936
0.901025,-0.210316,-2.16754
0.9651,-0.185038,-2.18471
1.02778,-0.156449,-2.21449
1.09212,-0.134213,-2.26131
1.1261,-0.118473,-2.28964
1.16523,-0.105725,-2.30065
1.19547,-0.0930803,-2.31353
1.22548,-0.0832123,-2.31974
1.26527,-0.0653511,-2.34133
1.284,-0.0498821,-2.33752
1.31197,-0.0291693,-2.3452
1.33791,-0.00615394,-2.36139
1.36139,0.00737243,-2.37593
1.37384,0.0137967,-2.38813
1.40487,0.0275329,-2.40587
1.43768,0.0407348,-2.41537
1.49074,0.0581357,-2.43898
1.54765,0.0866356,-2.46231
1.61536,0.128146,-2.48004
1.66572,0.170883,-2.47809
1.7123,0.21035,-2.48949
1.75205,0.227612,-2.48273
1.79734,0.241203,-2.4776
1.84183,0.239391,-2.4655
1.87827,0.236048,-2.45376
1.91254,0.232027,-2.44408
1.93114,0.229938,-2.43357
1.93979,0.244363,-2.43925
1.94011,0.239451,-2.43097
1.94259,0.243848,-2.42944
1.94012,0.244994,-2.42364
1.93827,0.247572,-2.42417
1.93932,0.248261,-2.41847
1.9392,0.244996,-2.41353
1.91821,0.234631,-2.40539
1.88479,0.220795,-2.39804
1.81468,0.181344,-2.37774
1.6485,0.0655767,-2.3482
1.55742,0.00900751,-2.31144
1.45001,-0.0516003,-2.3029
1.35754,-0.111384,-2.27141
1.28459,-0.170253,-2.22457
1.21944,-0.199809,-2.20511
1.08741,-0.262763,-2.14653
0.908065,-0.306402,-2.06798
0.740788,-0.361257,-2.00555
0.601717,-0.381103,-1.99136
0.446913,-0.418264,-1.94
0.331906,-0.463274,-1.88474
0.28661,-0.495987,-1.87297
0.215533,-0.512559,-1.8379
0.147855,-0.531506,-1.79422
0.0746892,-0.545659,-1.74692
0.00483092,-0.555317,-1.69656
-0.0684599,-0.55315,-1.64834
-0.155018,-0.54987,-1.59694
-0.242285,-0.546341,-1.55898
-0.333817,-0.536782,-1.5157
-0.396078,-0.532173,-1.48603
-0.470486,-0.512932,-1.45487
-0.547092,-0.490304,-1.41216
-0.611195,-0.483631,-1.37867
-0.705866,-0.456449,-1.3324
