roll,pitch,yaw,roll_next,pitch_next,yaw_next
1.11785,-0.172682,-2.16197,1.7234,-0.220224,-1.96624
1.7234,-0.220224,-1.96624,1.945,-0.0399872,-2.15579
1.945,-0.0399872,-2.15579,1.97465,0.0606864,-2.19016
1.97465,0.0606864,-2.19016,1.98924,0.0320752,-2.14889
1.98924,0.0320752,-2.14889,1.95669,0.011366,-2.17525
1.95669,0.011366,-2.17525,1.77026,-0.0745485,-2.1863
1.77026,-0.0745485,-2.1863,1.4689,-0.193508,-2.18431
1.4689,-0.193508,-2.18431,1.19375,-0.321778,-2.10193
1.19375,-0.321778,-2.10193,0.993949,-0.434391,-1.98469
0.993949,-0.434391,-1.98469,0.868347,-0.494154,-1.92426
0.868347,-0.494154,-1.92426,0.741308,-0.517966,-1.88365
0.741308,-0.517966,-1.88365,0.606388,-0.541716,-1.86584
0.606388,-0.541716,-1.86584,0.514359,-0.545049,-1.8841
0.514359,-0.545049,-1.8841,0.438656,-0.563252,-1.89983
0.438656,-0.563252,-1.89983,0.395932,-0.581348,-1.9293
0.395932,-0.581348,-1.9293,0.336896,-0.593912,-1.93822
0.336896,-0.593912,-1.93822,0.286991,-0.600948,-1.95147
0.286991,-0.600948,-1.95147,0.224788,-0.607558,-1.93878
0.224788,-0.607558,-1.93878,0.229334,-0.601533,-1.95945
0.229334,-0.601533,-1.95945,0.217373,-0.597095,-1.95058
0.217373,-0.597095,-1.95058,0.248297,-0.578772,-1.95471
0.248297,-0.578772,-1.95471,0.268066,-0.558565,-1.94291
0.268066,-0.558565,-1.94291,0.296934,-0.521606,-1.90475
0.296934,-0.521606,-1.90475,0.29851,-0.488001,-1.85788
0.29851,-0.488001,-1.85788,0.32961,-0.479831,-1.85657
0.32961,-0.479831,-1.85657,0.328878,-0.48278,-1.84943
0.328878,-0.48278,-1.84943,0.351141,-0.474582,-1.84399
0.351141,-0.474582,-1.84399,0.397154,-0.445195,-1.80419
0.397154,-0.445195,-1.80419,-0.245022,-0.451827,-1.25847
-0.245022,-0.451827,-1.25847,-1.35472,0.150436,-0.797461
-1.35472,0.150436,-0.797461,-1.77797,-0.247187,-0.745624
-1.77797,-0.247187,-0.745624,-2.00319,-0.0686021,-0.870849
-2.00319,-0.0686021,-0.870849,-1.85661,-0.0372954,-0.83619
-1.85661,-0.0372954,-0.83619,-1.55446,-0.0425409,-0.909847
-1.55446,-0.0425409,-0.909847,-1.1727,-0.0784544,-1.03632
-1.1727,-0.0784544,-1.03632,-0.708671,-0.248364,-1.3161
-0.708671,-0.248364,-1.3161,-0.340883,-0.414166,-1.61154
-0.340883,-0.414166,-1.61154,-0.283177,-0.430409,-1.58346
-0.283177,-0.430409,-1.58346,-0.326214,-0.461257,-1.50755
-0.326214,-0.461257,-1.50755,-0.260187,-0.48927,-1.56839
