roll,pitch,yaw
0.532556,-0.987327,-2.15189
0.524034,-0.979755,-2.14403
0.519349,-0.974987,-2.14024
0.507351,-0.970815,-2.12837
0.487255,-0.95735,-2.10787
0.458947,-0.93067,-2.07505
0.450315,-0.903085,-2.06411
0.403105,-0.867431,-2.01465
0.358126,-0.806813,-1.96842
0.357259,-0.746087,-1.97765
0.329893,-0.732016,-1.94886
0.325325,-0.715772,-1.93564
0.310544,-0.698572,-1.91757
0.314449,-0.672161,-1.91634
0.296567,-0.644966,-1.8956
0.302336,-0.62285,-1.89639
0.285495,-0.608972,-1.87625
0.286366,-0.588074,-1.8702
0.277445,-0.571083,-1.8604
0.276935,-0.554546,-1.85608
0.272936,-0.542284,-1.847
0.270111,-0.533854,-1.84186
0.269275,-0.523248,-1.83739
0.266998,-0.506924,-1.83321
0.265901,-0.491228,-1.83463
0.263865,-0.477704,-1.82991
0.262424,-0.472641,-1.83008
0.26344,-0.469839,-1.8252
0.263271,-0.464797,-1.81973
0.260868,-0.457782,-1.81152
0.260808,-0.453039,-1.81084
0.255606,-0.446559,-1.80295
0.256164,-0.435272,-1.80309
0.253604,-0.425989,-1.79934
0.257135,-0.413792,-1.79364
0.267447,-0.398075,-1.77941
0.262138,-0.369808,-1.7595
0.268557,-0.351872,-1.75797
0.264349,-0.341127,-1.74808
0.266453,-0.330584,-1.74353
0.268098,-0.322622,-1.7349
0.268385,-0.314641,-1.73225
0.269678,-0.312506,-1.73394
0.269787,-0.313663,-1.73388
0.271215,-0.316328,-1.73653
0.271137,-0.318593,-1.73567
0.270275,-0.319335,-1.73505
0.270237,-0.317548,-1.73323
0.270412,-0.309789,-1.72662
0.259927,-0.294249,-1.71342
0.254265,-0.273802,-1.69983
0.244559,-0.237813,-1.66915
0.251215,-0.205365,-1.6551
0.249191,-0.189573,-1.64315
0.248859,-0.184362,-1.64114
0.249753,-0.182709,-1.64113
0.252329,-0.18331,-1.64089
0.2547,-0.186975,-1.64361
0.255941,-0.191033,-1.64307
0.259126,-0.191323,-1.6447
0.262697,-0.192376,-1.64496
0.26576,-0.195671,-1.64621
0.271791,-0.195301,-1.63593
0.273381,-0.19484,-1.63745
0.275512,-0.195819,-1.64425
0.272491,-0.198565,-1.65659
0.272423,-0.198997,-1.65431
0.27235,-0.203176,-1.66107
0.275296,-0.210111,-1.67566
0.28527,-0.22704,-1.69828
0.283323,-0.246652,-1.71283
0.281117,-0.236551,-1.70953
0.259575,-0.186432,-1.69381
0.261437,-0.122571,-1.69852
0.258502,-0.0687302,-1.6826
0.257829,-0.036356,-1.65749
0.257265,-0.00110028,-1.63867
0.247729,0.0340884,-1.60574
0.249867,0.0712144,-1.5886
0.255369,0.0951717,-1.58367
0.260032,0.107912,-1.58456
0.262048,0.118959,-1.58067
0.263878,0.123199,-1.58159
0.266854,0.126807,-1.58336
0.269624,0.124537,-1.58224
0.269239,0.121669,-1.5808
0.268588,0.118082,-1.58167
0.267461,0.114093,-1.58297
0.265838,0.10465,-1.59457
0.269087,0.062052,-1.6303
0.279168,-0.0881494,-1.72352
0.207135,-0.151151,-1.7301
0.184613,-0.122073,-1.71375
0.172819,-0.0271952,-1.70022
0.17352,0.0754041,-1.65762
0.187418,0.190817,-1.59794
0.196363,0.285719,-1.5637
0.218545,0.314703,-1.53287
0.233835,0.36429,-1.53819
0.244206,0.386914,-1.50818
0.264781,0.434882,-1.49605
0.27906,0.463799,-1.46987
0.317744,0.496297,-1.4275
0.33758,0.530765,-1.38469
0.367089,0.548364,-1.31675
0.443582,0.585601,-1.26274
0.446313,0.600567,-1.2361
0.443139,0.616146,-1.22399
0.482259,0.635574,-1.20236
0.46416,0.640351,-1.21365
0.486372,0.645865,-1.203
0.488116,0.648328,-1.20191
0.493167,0.646932,-1.19927
0.490727,0.644443,-1.20282
0.496008,0.640765,-1.20287
0.48673,0.636823,-1.21598
0.486031,0.630982,-1.21639
0.483465,0.625998,-1.22101
0.480628,0.621055,-1.22687
0.481311,0.617441,-1.22869
0.482367,0.611541,-1.23051
0.474004,0.608822,-1.24215
0.475375,0.603537,-1.24434
0.476491,0.598075,-1.24877
0.47513,0.594638,-1.26072
0.480486,0.59138,-1.2595
0.48229,0.587956,-1.25827
0.478293,0.572888,-1.25466
0.473166,0.557591,-1.25247
0.470106,0.540563,-1.27128
0.460677,0.518328,-1.30293
0.454519,0.513375,-1.31166
0.446066,0.503043,-1.32568
0.434779,0.493815,-1.33803
0.430798,0.480459,-1.35514
0.429647,0.462605,-1.36761
0.426624,0.440379,-1.38121
0.424947,0.430073,-1.38763
0.415387,0.399515,-1.40974
0.407685,0.361253,-1.43131
0.409101,0.297564,-1.46467
0.413328,0.203743,-1.48959
0.424862,0.112654,-1.50892
0.444962,0.0482289,-1.53558
0.473318,0.0162939,-1.58062
0.483919,-0.0110608,-1.61774
0.500786,-0.043784,-1.64078
0.495767,-0.0534255,-1.6567
0.517413,-0.0496599,-1.67832
0.515948,-0.0705319,-1.66698
0.517079,-0.0574651,-1.66849
0.516784,-0.0535659,-1.65909
0.506672,-0.0439384,-1.63886
0.517254,-0.02795,-1.64976
0.514544,-0.0445446,-1.638
0.511703,-0.0432437,-1.64697
0.518105,-0.0542108,-1.67009
0.515993,-0.120965,-1.70871
0.553247,-0.159887,-1.79178
0.558048,-0.217946,-1.82889
0.561359,-0.283992,-1.85107
0.565637,-0.306395,-1.89317
0.584516,-0.333571,-1.93114
0.575693,-0.372214,-1.945
0.586863,-0.386558,-1.9848
0.606049,-0.423533,-2.00254
0.595832,-0.467634,-2.00225
0.614579,-0.443166,-2.00613
0.594285,-0.432409,-1.98281
0.606402,-0.392871,-1.98815
0.604384,-0.390503,-2.00286
0.599093,-0.361434,-2.01753
0.568327,-0.356344,-2.00131
0.575498,-0.357389,-1.99881
0.567277,-0.361064,-1.99346
0.578891,-0.366133,-2.01094
0.575539,-0.371272,-2.01025
0.577119,-0.374906,-2.01262
0.578199,-0.379453,-2.0149
0.577029,-0.374395,-2.01647
0.575564,-0.364846,-2.02131
0.575015,-0.353396,-2.01861
0.571585,-0.340182,-2.0096
0.576474,-0.321504,-2.00794
0.552592,-0.309736,-1.9867
0.559649,-0.267193,-1.99154
0.543431,-0.279753,-1.97627
0.560052,-0.255532,-1.97771
0.552956,-0.237878,-1.97047
0.55026,-0.233504,-1.96603
0.547509,-0.204188,-1.92815
0.553748,-0.186588,-1.92294
0.555785,-0.168897,-1.90729
0.563731,-0.154564,-1.88671
0.554114,-0.126558,-1.84616
0.547594,-0.0792534,-1.80302
0.537387,-0.0545262,-1.76034
0.526477,-0.0231607,-1.73457
0.513428,0.00293641,-1.7048
0.5029,0.0204997,-1.68575
0.484457,0.0486732,-1.65595
0.487161,0.0671229,-1.65702
0.482206,0.0734782,-1.63556
0.484168,0.0749303,-1.6399
0.48377,0.0756873,-1.63929
0.485843,0.0748422,-1.63951
0.487045,0.0729294,-1.63964
0.486509,0.072593,-1.6387
0.4858,0.0719424,-1.64101
0.48582,0.069276,-1.64477
0.486862,0.0500041,-1.65479
0.501006,0.0132551,-1.6703
0.52427,-0.0343328,-1.68197
0.55081,-0.0881245,-1.71613
0.569867,-0.153371,-1.7656
0.593673,-0.203583,-1.84083
0.589666,-0.267304,-1.89986
0.607374,-0.310071,-1.9386
0.605495,-0.341749,-1.967
0.610126,-0.364395,-1.9901
0.615928,-0.370131,-2.00186
0.610408,-0.374063,-1.99567
0.604719,-0.358542,-1.9928
0.610484,-0.340637,-1.99574
0.629192,-0.307929,-2.00681
0.656155,-0.265445,-2.0235
0.693101,-0.220748,-2.04727
0.733164,-0.175477,-2.06377
0.780134,-0.120871,-2.07425
0.824175,-0.0700231,-2.07819
0.863231,-0.02159,-2.08948
0.917206,0.0447186,-2.0943
0.958036,0.0904765,-2.09871
1.00378,0.135584,-2.09961
1.00177,0.130013,-2.10226
1.02224,0.154856,-2.1053
1.0271,0.158303,-2.10672
1.03497,0.171636,-2.10957
1.05206,0.190763,-2.10781
1.07833,0.214823,-2.10378
1.10435,0.222898,-2.09271
1.12381,0.23083,-2.08665
1.12738,0.236851,-2.0857
1.12729,0.240101,-2.08593
1.12512,0.240791,-2.08628
1.11988,0.238065,-2.08711
1.11596,0.235759,-2.0878
1.11287,0.236936,-2.08865
1.11236,0.235523,-2.08751
1.11209,0.233785,-2.08431
1.11332,0.233639,-2.083
1.11521,0.235351,-2.08302
1.11616,0.234571,-2.08245
1.11717,0.232591,-2.08044
1.11328,0.226715,-2.07829
1.10472,0.221104,-2.07663
1.09525,0.209757,-2.07205
1.07819,0.18878,-2.06879
1.04065,0.154487,-2.07321
0.971451,0.108129,-2.07443
0.869028,0.0560327,-2.07167
0.722287,-0.0796287,-2.02711
0.515451,-0.254156,-1.87973
0.369215,-0.299389,-1.80173
0.303248,-0.30352,-1.80218
0.221757,-0.33324,-1.75579
0.200364,-0.339359,-1.7446
0.183781,-0.344257,-1.74904
0.184803,-0.343777,-1.75281
0.17649,-0.349743,-1.7519
0.172118,-0.351183,-1.75071
0.170738,-0.349357,-1.75089
0.167442,-0.349529,-1.75034
0.171557,-0.345808,-1.75431
0.169591,-0.352063,-1.75674
0.173652,-0.359015,-1.76388
0.171008,-0.368815,-1.76693
0.167522,-0.372787,-1.77053
0.157115,-0.389716,-1.77083
0.146518,-0.405364,-1.77005
0.138199,-0.418761,-1.7754
0.126796,-0.433873,-1.77709
0.124655,-0.449186,-1.78192
0.121638,-0.465439,-1.78857
0.123047,-0.483333,-1.79623
0.120052,-0.502006,-1.80379
0.121138,-0.524394,-1.81121
0.12459,-0.549167,-1.82287
0.128306,-0.570074,-1.83084
0.129332,-0.585921,-1.83548
0.132772,-0.597733,-1.83934
0.134001,-0.601637,-1.84302
0.132744,-0.607683,-1.84447
0.128454,-0.611999,-1.84307
0.125084,-0.616591,-1.84138
0.118707,-0.625316,-1.84049
0.115228,-0.633512,-1.84041
0.104109,-0.644852,-1.83681
0.0989832,-0.654266,-1.8378
0.0937896,-0.666096,-1.834
0.0907513,-0.675042,-1.83351
0.0863246,-0.687103,-1.83158
0.0886468,-0.69859,-1.83283
0.089622,-0.706366,-1.83385
0.0914465,-0.706937,-1.83214
0.0947149,-0.700508,-1.83238
0.0978263,-0.689035,-1.83178
0.108984,-0.664265,-1.83405
0.110244,-0.622554,-1.81804
